date,symbol,corr_symbol,direction,entry,entry_time,sl,tp1,tp2,sl_pips,pip_value_per_lot,pnl_pips,outcome,exit_time,exit_price,month,lot_size,pnl_dollar,balance,drawdown_pct
2024-11-04,AUDUSD,,bullish,0.65898,2024-11-04 20:20:00+00:00,0.6577000000000001,0.6613899999999999,0.66185,12.8,8.54978540038645,-7.1,EOD,2024-11-04 23:55:00+00:00,0.65835,2024-11,0.16,-9.712556214839006,904.3552634641625,7.022720914318667
2024-11-04,JPN225,,bearish,38533.5,2024-11-04 20:50:00+00:00,38643.52,38313.475,38238.5,11002.0,0.005339455909442828,11499.0,EOD,2024-11-04 23:55:00+00:00,38418.5,2024-11,0.3,18.419521050804924,922.7747845149675,5.1289994770097085
2024-11-13,JPN225,,bullish,38691.5,2024-11-13 18:10:00+00:00,38481.48,39111.525,39386.5,21002.0,0.005339455909442828,24249.0,EOD,2024-11-13 23:55:00+00:00,38934.0,2024-11,0.16,20.716234615692663,943.4910191306601,2.999151611592782
2024-11-19,EURUSD,,bearish,1.05776,2024-11-19 18:45:00+00:00,1.06023,1.0529700000000004,1.05226,24.7,8.54978540038645,-16.0,EOD,2024-11-19 23:55:00+00:00,1.05931,2024-11,0.08,-10.943725312494655,932.5472938181655,4.124282236386419
2024-11-22,JPN225,,bullish,38168.5,2024-11-22 12:45:00+00:00,38035.98,38433.525,38513.5,13252.0,0.005339455909442828,34499.0,TRAIL,2024-11-22 18:00:00+00:00,38513.5,2024-11,0.25,46.05147235496703,978.5987661731325,0.0
2024-11-22,FRA40,,bearish,7254.25,2024-11-22 18:05:00+00:00,7277.02,7208.724999999999,7158.6,2277.0,0.01,-1001.0,EOD,2024-11-22 22:55:00+00:00,7264.25,2024-11,0.86,-8.6086,969.9901661731325,0.879686373779568
2024-11-27,FRA40,,bullish,7121.75,2024-11-27 14:15:00+00:00,7095.73,7173.775000000001,7188.6,2602.0,0.01,3449.0,EOD,2024-11-27 22:55:00+00:00,7156.25,2024-11,0.68,23.453200000000002,993.4433661731325,0.0
2024-12-03,EURJPY,,bearish,157.766,2024-12-03 13:00:00+00:00,158.0,157.31299999999996,156.932,23.4,5.339455909442829,82.4,TRAIL,2024-12-03 15:45:00+00:00,156.932,2024-12,0.16,70.39538671009426,1063.8387528832268,0.0
2024-12-09,FRA40,,bearish,7493.7,2024-12-09 18:35:00+00:00,7521.97,7437.174999999999,7424.8,2827.0,0.01,2124.0,EOD,2024-12-09 22:55:00+00:00,7472.45,2024-12,0.69,14.6556,1078.4943528832268,0.0
2024-12-16,AUDUSD,,bullish,0.63549,2024-12-16 14:35:00+00:00,0.63474,0.6368400000000001,0.63822,7.5,8.54978540038645,-8.3,SL_INIT,2024-12-16 16:45:00+00:00,0.63474,2024-12,0.33,-23.417862211658488,1055.0764906715683,2.171347689401771
2024-12-16,AUS200,,bearish,8297.2,2024-12-16 17:45:00+00:00,8309.220000000001,8273.174999999997,8252.4,1202.0,0.006098713781263532,4479.0,TRAIL,2024-12-16 22:50:00+00:00,8252.4,2024-12,2.66,72.6609298099031,1127.7374204814714,0.0
2024-12-16,JPN225,,bearish,39652.0,2024-12-16 18:35:00+00:00,39744.52,39466.975,39389.5,9252.0,0.005339455909442828,-2251.0,EOD,2024-12-16 23:55:00+00:00,39674.5,2024-12,0.43,-5.168219558426996,1122.5692009230445,0.4582821731871262
2024-12-16,US30,,bearish,43996.05,2024-12-16 13:20:00+00:00,44011.57,43965.025,43931.0,1552.0,0.008549785400386449,-1554.5,SL_INIT,2024-12-16 13:40:00+00:00,44011.57,2024-12,1.62,-21.53083907593919,1101.0383618471053,2.367488933990266
2024-12-19,FRA40,,bullish,7287.65,2024-12-19 13:50:00+00:00,7268.129999999999,7326.675,7335.15,1952.0,0.01,84.0,EOD,2024-12-19 22:55:00+00:00,7288.5,2024-12,1.1,0.924,1101.9623618471053,2.285554967517336
2024-12-24,EURJPY,,bearish,163.447,2024-12-24 17:30:00+00:00,163.64600000000002,163.06399999999996,163.016,19.9,5.339455909442829,10.9,EOD,2024-12-24 23:55:00+00:00,163.328,2024-12,0.2,11.640013882585366,1113.6023757296907,1.253398574443503
2025-01-03,AUDUSD,,bearish,0.62207,2025-01-03 14:40:00+00:00,0.62271,0.62094,0.61995,6.4,8.54978540038645,20.4,TRAIL,2025-01-03 17:25:00+00:00,0.61995,2025-01,0.39,68.02209264547459,1181.6244683751654,0.0
2025-01-03,FRA40,,bullish,7335.25,2025-01-03 13:25:00+00:00,7317.73,7370.275000000001,7389.75,1752.0,0.01,-1753.0,SL_INIT,2025-01-03 15:25:00+00:00,7317.73,2025-01,1.35,-23.6655,1157.9589683751653,2.002793665278627
2025-01-10,US30,,bearish,42622.85,2025-01-10 14:05:00+00:00,42687.469999999994,42493.625,42466.25,6462.0,0.008549785400386449,26906.5,TRAIL,2025-01-10 16:00:00+00:00,42353.76,2025-01,0.39,89.71747234144422,1247.6764407166095,0.0
2025-01-16,JPN225,,bullish,38511.0,2025-01-16 18:20:00+00:00,38423.48,38686.025,38943.5,8752.0,0.005339455909442828,-8753.0,SL_INIT,2025-01-16 18:40:00+00:00,38423.48,2025-01,0.5,-23.368128787676536,1224.3083119289329,1.8729317974662558
2025-01-17,EURUSD,,bearish,1.03007,2025-01-17 14:40:00+00:00,1.0311299999999999,1.0281000000000007,1.0277,10.6,8.54978540038645,28.5,TRAIL,2025-01-17 16:25:00+00:00,1.02717,2025-01,0.26,63.35390981686359,1287.6622217457964,0.0
2025-01-17,CN50,,bearish,12963.5,2025-01-17 20:50:00+00:00,13024.52,12841.474999999997,12795.5,6102.0,0.008549785400386449,1399.0,EOD,2025-01-17 22:40:00+00:00,12949.5,2025-01,0.45,5.382517398813289,1293.0447391446096,0.0
2025-01-20,JPN225,,bearish,39019.5,2025-01-20 18:35:00+00:00,39104.52,38849.475,38687.0,8502.0,0.005339455909442828,5249.0,EOD,2025-01-20 19:55:00+00:00,38967.0,2025-01,0.52,14.573938115706012,1307.6186772603155,0.0
2025-01-24,FRA40,,bullish,7926.2,2025-01-24 18:20:00+00:00,7906.429999999999,7965.725,7993.45,1977.0,0.01,-526.0,EOD,2025-01-24 22:55:00+00:00,7920.95,2025-01,1.31,-6.8906,1300.7280772603156,0.526957905988077
2025-01-29,AUS200,,bearish,8487.7,2025-01-29 18:05:00+00:00,8507.42,8448.275,8437.1,1972.0,0.006098788170790465,5059.0,TRAIL,2025-01-29 21:20:00+00:00,8437.1,2025-01,2.16,66.64414180902256,1367.3722190693381,0.0
2025-01-30,FRA40,,bearish,7915.75,2025-01-30 13:50:00+00:00,7923.27,7900.724999999999,7878.1,752.0,0.01,-753.0,SL_INIT,2025-01-30 14:35:00+00:00,7923.27,2025-01,3.45,-25.978500000000004,1341.3937190693382,1.8998850230905997
2025-01-30,JPN225,,bearish,39513.5,2025-01-30 19:40:00+00:00,39638.52,39263.475,39208.5,12502.0,0.005339455909442828,-12503.0,SL_INIT,2025-01-30 20:35:00+00:00,39638.52,2025-01,0.39,-26.036094721947837,1315.3576243473904,3.8039821196126096
2025-02-05,EURUSD,,bearish,1.0411,2025-02-05 14:10:00+00:00,1.0432,1.0370500000000002,1.03691,21.0,8.54978540038645,-21.5,SL_INIT,2025-02-05 17:00:00+00:00,1.0432,2025-02,0.14,-25.734854055163215,1289.6227702922272,5.686048589609992
2025-02-20,EURJPY,,bullish,156.75,2025-02-20 19:05:00+00:00,156.289,157.65700000000004,157.827,46.1,5.339455909442829,35.1,EOD,2025-02-20 23:55:00+00:00,157.111,2025-02,0.1,18.74149024214433,1308.3642605343716,4.315427629144649
2025-02-21,AUS200,,bullish,8300.5,2025-02-21 18:00:00+00:00,8285.48,8330.525000000003,8365.5,1502.0,0.006098788170790465,-1503.0,SL_INIT,2025-02-21 20:00:00+00:00,8285.48,2025-02,2.83,-25.94113449657554,1282.423126037796,6.212580001761352
2025-02-21,CN50,,bearish,13443.5,2025-02-21 18:55:00+00:00,13477.52,13375.474999999997,13279.5,3402.0,0.008549785400386449,4799.0,EOD,2025-02-21 22:40:00+00:00,13395.5,2025-02,0.81,33.2346403105282,1315.6577663483242,3.782031841791538
2025-02-26,EURJPY,,bearish,156.94,2025-02-26 18:50:00+00:00,157.143,156.54899999999998,156.403,20.3,5.339455909442829,52.7,TRAIL,2025-02-26 19:40:00+00:00,156.403,2025-02,0.24,67.5334383426329,1383.1912046909572,0.0
2025-03-07,CN50,,bullish,13229.0,2025-03-07 20:15:00+00:00,13213.48,13260.025000000003,13328.5,1552.0,0.008549785400386449,449.0,EOD,2025-03-07 22:40:00+00:00,13233.5,2025-03,1.95,7.485764607308355,1390.6769692982655,0.0
2025-03-10,AUDUSD,,bearish,0.63198,2025-03-10 16:10:00+00:00,0.6331,0.62989,0.62951,11.2,8.54978540038645,23.9,TRAIL,2025-03-10 20:15:00+00:00,0.62951,2025-03,0.27,55.17176518869376,1445.8487344869593,0.0
2025-03-21,AUDUSD,,bullish,0.62889,2025-03-21 14:00:00+00:00,0.6281300000000001,0.6302599999999997,0.63057,7.6,8.54978540038645,-8.4,SL_INIT,2025-03-21 16:00:00+00:00,0.6281300000000001,2025-03,0.44,-31.600006839828318,1414.248727647131,2.185567970292623
2025-03-21,FRA40,,bullish,8036.35,2025-03-21 13:00:00+00:00,8023.83,8061.375000000001,8089.35,1252.0,0.01,-0.5,BE,2025-03-21 14:20:00+00:00,8036.3550000000005,2025-03,2.07,-0.01035,1414.238377647131,2.186283812811494
2025-03-24,FRA40,,bullish,8052.95,2025-03-24 14:55:00+00:00,8033.28,8092.275,8118.8,1967.0,0.01,-1968.0,SL_INIT,2025-03-24 15:20:00+00:00,8033.28,2025-03,1.32,-25.977600000000002,1388.2607776471311,3.9829862879993807
2025-03-25,AUS200,,bearish,7985.3,2025-03-25 21:50:00+00:00,8003.320000000001,7949.275,7935.84,1802.0,0.006098788170790465,-901.0,EOD,2025-03-25 22:55:00+00:00,7994.3,2025-03,2.36,-12.968219214842014,1375.292558432289,4.8799140858747005
2025-04-01,AUDUSD,,bearish,0.62685,2025-04-01 20:35:00+00:00,0.62847,0.6237600000000001,0.62315,16.2,8.54978540038645,-9.5,EOD,2025-04-01 23:55:00+00:00,0.62772,2025-04,0.19,-15.432362647697541,1359.8601957845915,5.947270738033306
2025-04-02,CN50,,bullish,13202.0,2025-04-02 15:10:00+00:00,13170.48,13265.025000000003,13291.5,3152.0,0.008549785400386449,-3153.0,SL_INIT,2025-04-02 23:25:00+00:00,13170.48,2025-04,0.96,-25.879174432721733,1333.9810213518697,7.737165753704134
2025-04-07,EURUSD,,bullish,1.09416,2025-04-07 21:05:00+00:00,1.08985,1.1026299999999998,1.10494,43.1,8.54978540038645,-39.2,EOD,2025-04-07 23:55:00+00:00,1.09029,2025-04,0.07,-23.46061113866042,1310.5204102132093,9.359784398315327
2025-04-08,EURUSD,,bullish,1.09082,2025-04-08 19:20:00+00:00,1.08862,1.0950699999999995,1.09915,22.0,8.54978540038645,48.2,EOD,2025-04-08 23:55:00+00:00,1.09569,2025-04,0.14,57.69395188180776,1368.2143620950171,5.3694671192204435
2025-04-09,AUS200,,bearish,7433.8,2025-04-09 18:35:00+00:00,7487.820000000001,7325.775,7317.8,5402.0,0.006098788170790465,-5403.0,SL_INIT,2025-04-09 19:55:00+00:00,7487.820000000001,2025-04,0.79,-26.0318844645569,1342.1824776304602,7.169924099514029
2025-04-11,CN50,,bearish,12858.0,2025-04-11 15:00:00+00:00,12937.02,12699.974999999997,12640.0,7902.0,0.008549785400386449,-5651.0,EOD,2025-04-11 23:40:00+00:00,12914.5,2025-04,0.38,-18.359638173081855,1323.8228394573784,8.43974145558734
2025-04-16,AUS200,,bearish,7800.5,2025-04-16 20:25:00+00:00,7822.52,7756.474999999999,7727.05,2202.0,0.006098788170790465,7344.0,TRAIL,2025-04-16 22:15:00+00:00,7727.05,2025-04,1.93,86.44373562973038,1410.2665750871088,2.4609876919438873
2025-04-21,CN50,,bullish,13021.0,2025-04-21 23:35:00+00:00,12999.48,13064.025000000003,13143.5,2152.0,0.008549785400386449,-251.0,EOD,2025-04-21 23:40:00+00:00,13018.5,2025-04,1.41,-3.025854551050768,1407.240720536058,2.6702664690992624
2025-04-24,AUDUSD,,bearish,0.63813,2025-04-24 15:15:00+00:00,0.63916,0.63622,0.63433,10.3,8.54978540038645,-11.1,SL_INIT,2025-04-24 17:05:00+00:00,0.63916,2025-04,0.29,-27.521759203843978,1379.7189613322141,4.573768443225873
2025-04-30,FRA40,,bearish,7598.15,2025-04-30 18:30:00+00:00,7613.17,7568.124999999999,7559.4,1502.0,0.01,-1503.0,SL_INIT,2025-04-30 18:40:00+00:00,7613.17,2025-04,1.73,-26.0019,1353.7170613322141,6.372151592153717
2025-05-07,FRA40,,bullish,7658.65,2025-05-07 15:20:00+00:00,7645.129999999999,7685.675,7699.5,1352.0,0.01,-1353.0,SL_INIT,2025-05-07 15:45:00+00:00,7645.129999999999,2025-05,1.92,-25.9776,1327.7394613322142,8.168854067341606
2025-05-07,JPN225,,bullish,36742.5,2025-05-07 17:20:00+00:00,36617.48,36992.525,37140.0,12502.0,0.005339427399805645,-12503.0,SL_INIT,2025-05-07 21:05:00+00:00,36617.48,2025-05,0.39,-26.03595570411029,1301.7035056281038,9.969592628927643
2025-05-12,AUDUSD,,bullish,0.63903,2025-05-12 15:30:00+00:00,0.63797,0.6409999999999999,0.64607,10.6,8.549858499841827,-11.4,SL_INIT,2025-05-12 17:50:00+00:00,0.63797,2025-05,0.29,-28.265832200477078,1273.4376734276268,11.92455731688352
2025-05-14,AUS200,,bullish,8256.1,2025-05-14 18:35:00+00:00,8247.08,8274.125000000004,8297.3,902.0,0.006098676587180583,-903.0,SL_INIT,2025-05-14 18:45:00+00:00,8247.08,2025-05,4.29,-23.625480270781242,1249.8121931568455,13.558578892395323
2025-05-15,FRA40,,bearish,7823.95,2025-05-15 15:20:00+00:00,7833.47,7804.924999999999,7802.4,952.0,0.01,-953.0,SL_INIT,2025-05-15 15:30:00+00:00,7833.47,2025-05,2.48,-23.6344,1226.1777931568456,15.1932173878522
2025-05-16,AUS200,,bullish,8335.3,2025-05-16 18:55:00+00:00,8324.779999999999,8356.325000000003,8400.3,1052.0,0.006098527815385366,-0.5,BE,2025-05-16 23:55:00+00:00,8335.305,2025-05,3.68,-0.011221291180309075,1226.1665718656652,15.193993491943363
2025-05-26,AUS200,,bearish,8376.0,2025-05-26 15:55:00+00:00,8385.02,8357.974999999997,8348.0,902.0,0.006098527815385366,-903.0,SL_INIT,2025-05-26 19:10:00+00:00,8385.02,2025-05,4.29,-23.62490394818691,1202.5416679174782,16.827975206951056
2025-05-28,EURUSD,,bullish,1.1294,2025-05-28 21:05:00+00:00,1.12815,1.1317499999999996,1.13449,12.5,8.549931600547197,-3.3,EOD,2025-05-28 23:55:00+00:00,1.12912,2025-05,0.22,-6.207250341997265,1196.334417575481,17.257290542223647
2025-05-28,FRA40,,bullish,7824.55,2025-05-28 13:00:00+00:00,7810.03,7853.575000000001,7856.05,1452.0,0.01,-1453.0,SL_INIT,2025-05-28 15:50:00+00:00,7810.03,2025-05,1.62,-23.538600000000002,1172.795817575481,18.885303171660464
2025-05-30,FRA40,,bullish,7762.0,2025-05-30 22:25:00+00:00,7746.48,7793.025000000001,7811.25,1552.0,0.01,174.0,EOD,2025-05-30 22:55:00+00:00,7763.75,2025-05,1.38,2.4012,1175.197017575481,18.719227707282645
2025-06-10,AUDUSD,,bearish,0.65282,2025-06-10 17:35:00+00:00,0.65347,0.6516699999999999,0.64894,6.5,8.549931600547197,6.1,EOD,2025-06-10 23:55:00+00:00,0.65213,2025-06,0.39,20.34028727770178,1195.5373048531826,17.312421670624932
2025-06-11,EURUSD,,bearish,1.14373,2025-06-11 14:05:00+00:00,1.14476,1.14182,1.14051,10.3,8.549931600547197,-10.8,SL_INIT,2025-06-11 15:30:00+00:00,1.14476,2025-06,0.27,-24.93160054719563,1170.605704305987,19.036779132959484
2025-06-13,EURJPY,,bearish,166.322,2025-06-13 21:10:00+00:00,166.42600000000002,166.12899999999996,164.929,10.4,5.339484419384465,-0.5,BE,2025-06-13 23:40:00+00:00,166.317,2025-06,0.39,-1.0411994617799707,1169.564504844207,19.10879216149732
2025-06-18,EURUSD,,bearish,1.15148,2025-06-18 19:20:00+00:00,1.1532,1.1481900000000005,1.14744,17.2,8.549931600547197,39.9,TRAIL,2025-06-18 22:00:00+00:00,1.14744,2025-06,0.15,51.171340629274965,1220.735845473482,15.569601690964976
2025-06-20,AUDUSD,,bearish,0.64893,2025-06-20 13:50:00+00:00,0.6496999999999999,0.6475400000000001,0.6472,7.7,8.549931600547197,16.5,TRAIL,2025-06-20 17:00:00+00:00,0.6472,2025-06,0.36,50.78659370725035,1271.5224391807324,12.057021675098285
2025-06-24,EURUSD,,bearish,1.16246,2025-06-24 18:15:00+00:00,1.16436,1.1588100000000003,1.15736,19.0,8.549931600547197,15.8,EOD,2025-06-24 23:55:00+00:00,1.16083,2025-06,0.15,20.263337893296857,1291.7857770740293,10.655537729373693
2025-06-24,FRA40,,bullish,7618.95,2025-06-24 18:25:00+00:00,7605.429999999999,7645.975,7679.95,1352.0,0.01,1349.0,EOD,2025-06-24 22:55:00+00:00,7632.45,2025-06,1.74,23.4726,1315.2583770740293,9.03208989281083
2025-06-25,AUDUSD,,bullish,0.64905,2025-06-25 18:25:00+00:00,0.6482,0.6506000000000001,0.65074,8.5,8.549931600547197,16.1,TRAIL,2025-06-25 21:40:00+00:00,0.65074,2025-06,0.36,49.55540355677156,1364.813780630801,5.604663331874242
2025-06-25,AUS200,,bullish,8555.5,2025-06-25 15:15:00+00:00,8550.48,8565.525000000003,8585.5,502.0,0.006098639393551299,-503.0,SL_INIT,2025-06-25 15:20:00+00:00,8550.48,2025-06,8.47,-25.98270425867989,1338.831076372121,7.401718835602264
2025-06-27,AUDUSD,,bullish,0.65363,2025-06-27 19:25:00+00:00,0.65268,0.6553800000000001,0.65607,9.5,8.549931600547197,-10.3,SL_INIT,2025-06-27 20:40:00+00:00,0.65268,2025-06,0.32,-28.180574555403567,1310.6505018167175,9.35078680400237
2025-06-30,AUDUSD,,bullish,0.65297,2025-06-30 15:25:00+00:00,0.65203,0.6547000000000002,0.65523,9.4,8.549931600547197,21.8,TRAIL,2025-06-30 17:40:00+00:00,0.65523,2025-06,0.32,59.64432284541725,1370.2948246621347,5.225574987388561
2025-06-30,EURJPY,,bearish,169.656,2025-06-30 23:30:00+00:00,169.751,169.481,168.702,9.5,5.339484419384465,-10.5,SL_INIT,2025-06-30 23:55:00+00:00,169.751,2025-06,0.51,-28.592939065803808,1341.7018855963308,7.203163540312094
2025-06-30,US30,,bullish,43944.85,2025-06-30 18:20:00+00:00,43882.030000000006,44070.47499999999,44122.85,6282.0,0.008549931600547196,-6284.5,SL_INIT,2025-06-30 20:55:00+00:00,43882.030000000006,2025-06,0.48,-25.79138166894665,1315.9105039273843,8.986986498672831
